"Quarter,""Quarterly Australian national accounts exports: millions of dollars at 1989/90 prices. Sep 59 ? Jun 95"""
1959Q4,2537
1960Q1,3379
1960Q2,2999
1960Q3,2809
1960Q4,2516
1961Q1,2799
1961Q2,3230
1961Q3,3759
1961Q4,3122
1962Q1,3641
1962Q2,3584
1962Q3,3610
1962Q4,3035
1963Q1,3620
1963Q2,3518
1963Q3,3487
1963Q4,3708
1964Q1,4190
1964Q2,3959
1964Q3,4026
1964Q4,3605
1965Q1,4057
1965Q2,3970
1965Q3,4211
1965Q4,4011
1966Q1,4113
1966Q2,3841
1966Q3,4083
1966Q4,4201
1967Q1,4232
1967Q2,4492
1967Q3,4905
1967Q4,4583
1968Q1,4894
1968Q2,4460
1968Q3,4754
1968Q4,4723
1969Q1,5447
1969Q2,4728
1969Q3,5016
1969Q4,5675
1970Q1,5838
1970Q2,5752
1970Q3,5926
1970Q4,6223
1971Q1,6482
1971Q2,6032
1971Q3,6725
1971Q4,6773
1972Q1,6916
1972Q2,6859
1972Q3,6845
1972Q4,6753
1973Q1,7355
1973Q2,7155
1973Q3,6693
1973Q4,6693
1974Q1,6833
1974Q2,6254
1974Q3,6460
1974Q4,7006
1975Q1,7234
1975Q2,7069
1975Q3,7458
1975Q4,7388
1976Q1,7384
1976Q2,7436
1976Q3,7761
1976Q4,8481
1977Q1,8124
1977Q2,7631
1977Q3,7830
1977Q4,7979
1978Q1,8590
1978Q2,7957
1978Q3,8289
1978Q4,8195
1979Q1,8866
1979Q2,8888
1979Q3,9173
1979Q4,8820
1980Q1,10058
1980Q2,9468
1980Q3,9258
1980Q4,8611
1981Q1,9220
1981Q2,8671
1981Q3,9236
1981Q4,8693
1982Q1,8740
1982Q2,9320
1982Q3,9868
1982Q4,9448
1983Q1,9724
1983Q2,8479
1983Q3,8999
1983Q4,8885
1984Q1,10141
1984Q2,9774
1984Q3,10542
1984Q4,10819
1985Q1,11199
1985Q2,11272
1985Q3,12050
1985Q4,11372
1986Q1,12457
1986Q2,11684
1986Q3,12169
1986Q4,12284
1987Q1,13457
1987Q2,12820
1987Q3,13794
1987Q4,13606
1988Q1,15114
1988Q2,14769
1988Q3,13514
1988Q4,13916
1989Q1,14931
1989Q2,14089
1989Q3,14877
1989Q4,14745
1990Q1,15274
1990Q2,15450
1990Q3,15512
1990Q4,16099
1991Q1,16956
1991Q2,17008
1991Q3,17925
1991Q4,18184
1992Q1,19138
1992Q2,18076
1992Q3,18585
1992Q4,18766
1993Q1,20427
1993Q2,19159
1993Q3,19878
1993Q4,20475
1994Q1,21998
1994Q2,21583
1994Q3,22025
1994Q4,21955
1995Q1,23180
1995Q2,22085
1995Q3,21853
